isin,date,transaction_type,quantity,price,amount
INF109KC1NT3,2023-02-03 00:00:00,buy,500,51.0,25500.0
INF109KC1NT3,2024-04-01 00:00:00,buy,100,60.2,6020.0
INF109KC1NT3,2024-04-01 00:00:00,buy,95,60.2,5719.0
INF109KC1NT3,2024-04-01 00:00:00,buy,95,60.2,5719.0
INF109KC1NT3,2024-04-01 00:00:00,buy,95,60.2,5719.0
INF109KC1NT3,2024-04-01 00:00:00,buy,23,60.2,1384.6
INF109KC1NT3,2024-04-01 00:00:00,buy,23,60.2,1384.6
INF109KC1NT3,2024-04-01 00:00:00,buy,23,60.2,1384.6
INF109KC1NT3,2024-04-01 00:00:00,buy,200,60.2,12040.0
INF109KC1NT3,2024-04-01 00:00:00,buy,200,60.2,12040.0
INF109KC1NT3,2024-04-01 00:00:00,buy,200,60.2,12040.0
INF109KC1NT3,2024-04-01 00:00:00,buy,200,60.2,12040.0
INF109KC1NT3,2024-04-01 00:00:00,buy,200,60.2,12040.0
INF109KC1NT3,2024-04-01 00:00:00,buy,196,60.2,11799.2
INF109KC1NT3,2024-05-07 00:00:00,buy,400,62.4,24960.0
INF109KC1NT3,2024-05-09 00:00:00,buy,663,62.3,41304.9
INF109KC1NT3,2024-05-09 00:00:00,buy,137,62.3,8535.1
INF109KC1NT3,2024-05-09 00:00:00,buy,800,62.25,49800.0
INF109KC1NT3,2024-05-09 00:00:00,buy,406,62.2,25253.2
INF109KC1NT3,2024-05-21 00:00:00,buy,373,64.65,24114.45
INF109KC1NT3,2024-05-21 00:00:00,buy,1,64.65,64.65
INF109KC1NT3,2024-05-21 00:00:00,buy,26,64.65,1680.9
INF109KC1NT3,2024-05-21 00:00:00,buy,1200,64.5,77400.0
INF109KC1NT3,2024-05-24 00:00:00,buy,400,62.58,25032.0
INF109KC1NT3,2024-05-28 00:00:00,buy,138,63.12,8710.56
INF109KC1NT3,2024-05-28 00:00:00,buy,62,63.12,3913.44
INF109KC1NT3,2024-05-28 00:00:00,buy,1000,63.1,63100.0
INF109KC1NT3,2024-05-28 00:00:00,buy,340,63.0,21420.0
INF109KC1NT3,2024-05-28 00:00:00,buy,400,62.75,25100.0
INF109KC1NT3,2024-05-30 00:00:00,buy,800,62.75,50200.0
INF109KC1NT3,2024-06-10 00:00:00,buy,1204,62.04,74696.16
INF109KC1NT3,2024-07-26 00:00:00,buy,1200,60.95,73140.0
INF109KC1NT3,2024-08-07 00:00:00,buy,50,60.15,3007.5
INF109KC1NT3,2024-08-07 00:00:00,buy,1,60.15,60.15
INF109KC1NT3,2024-08-07 00:00:00,buy,613,60.15,36871.95
INF109KC1NT3,2024-08-07 00:00:00,buy,50,60.15,3007.5
INF109KC1NT3,2024-08-07 00:00:00,buy,50,60.15,3007.5
INF109KC1NT3,2024-08-07 00:00:00,buy,50,60.15,3007.5
INF109KC1NT3,2024-08-07 00:00:00,buy,42,60.15,2526.3
INF109KC1NT3,2024-08-07 00:00:00,buy,1,60.15,60.15
INF109KC1NT3,2024-08-07 00:00:00,buy,243,60.15,14616.45
INF109KC1NT3,2025-02-03 00:00:00,buy,500,71.89,35945.0
INF109KC1NT3,2025-02-03 00:00:00,buy,500,71.9,35950.0
INF109KC1NT3,2025-02-04 00:00:00,buy,500,72.2,36100.0
INF109KC1NT3,2025-02-05 00:00:00,buy,142,73.15,10387.3
INF109KC1NT3,2025-02-05 00:00:00,buy,108,73.15,7900.2
INF109KC1NT3,2025-02-05 00:00:00,buy,250,73.1,18275.0
INF109KC1NT3,2025-02-06 00:00:00,buy,500,73.6,36800.0
INF109KC1NT3,2025-02-06 00:00:00,buy,1,73.1,73.1
INF109KC1NT3,2025-02-06 00:00:00,buy,125,73.1,9137.5
INF109KC1NT3,2025-02-06 00:00:00,buy,124,73.1,9064.4
INF109KC1NT3,2025-09-02 00:00:00,buy,1266,89.92,113838.72
INF109KC1NT3,2025-09-02 00:00:00,buy,14,89.91,1258.74
INF109KC1NT3,2025-09-10 00:00:00,buy,320,93.85,30032.0
INF109KC1NT3,2025-09-17 00:00:00,buy,100,94.25,9425.0
INF109KC1NT3,2025-09-25 00:00:00,buy,150,96.98,14547.0
INF109KC1NT3,2025-10-08 00:00:00,buy,100,105.0,10500.0
